date,tweet
2021-12-19 01:00:34+00:00,traceroute woke_mind_virus
2021-12-18 08:35:39+00:00, 
2021-12-18 08:20:35+00:00,silco amp jinx headline coachella
2021-12-18 07:40:43+00:00,
2021-12-18 05:12:14+00:00, still aiming for booster 4 amp ship 20 for first orbital test flight this is pure coincidence
2021-12-18 04:51:47+00:00, 108
2021-12-18 04:51:32+00:00, coming
2021-12-18 04:51:13+00:00, 108 is close so just jumping to that
2021-12-18 04:49:54+00:00, probably
2021-12-18 04:49:20+00:00,"  haha this is not even its final form although pretty close 

cape is hopefully this summer"
2021-12-18 04:44:37+00:00,tesla fsd 108 plus holiday fun software release probably tuesday
2021-12-18 04:23:05+00:00,  15 degrees
2021-12-18 04:21:43+00:00," yup next booster will have 33 raptor 2 engines with 13 steering 

ship is being upgraded to 9 engines 3 sealevel gimbaling 6 vacuum fixed with increased propellant load"
2021-12-18 04:01:04+00:00,each raptor 1 engine above produces 185 metric tons of force raptor 2 just started production amp will do 230 tons or over half a million pounds of force
2021-12-18 01:15:08+00:00, interesting
2021-12-17 23:45:51+00:00,    the great state of massachusetts deserves someone better
2021-12-17 11:23:07+00:00,  still much to be done but it has that potential
2021-12-17 10:06:24+00:00, this is a big deal
2021-12-17 09:39:10+00:00,  it might be
2021-12-17 09:27:27+00:00, wow this video took a lot of work
2021-12-17 08:40:11+00:00,     trondheim sounds cool
2021-12-17 08:15:00+00:00,  i saw it whoa pretty dark nice bladerunner reference
2021-12-17 08:12:13+00:00, wait people pay him to speak lmaooo
2021-12-17 04:26:15+00:00, 
2021-12-16 23:08:09+00:00,     i havent read the book but sonis questions were incredibly insightful amp his attention to detail was superlative
2021-12-16 22:51:23+00:00, 
2021-12-16 21:54:44+00:00, add some tats gt hipster xenomorph
2021-12-16 21:16:33+00:00,  
2021-12-16 20:50:19+00:00,  is there anything more tragic than unrequited love
2021-12-16 20:47:37+00:00, yeah i mean seriously wth
2021-12-16 20:40:35+00:00, ahem
2021-12-16 20:37:24+00:00, lack of joy reid is a lobbyist for sen karen
2021-12-16 19:30:13+00:00,old school shell game
2021-12-16 19:27:15+00:00, 
2021-12-16 19:02:36+00:00,  giga texas is a 10b investment over time generating at least 20k direct amp 100k indirect jobs
2021-12-16 19:00:38+00:00,  literally
2021-12-16 18:59:41+00:00, 
2021-12-16 18:23:37+00:00,
2021-12-16 09:59:50+00:00, i came to the us with no money amp graduated with over 100k in debt despite scholarships amp working 2 jobs while at school
2021-12-16 08:40:33+00:00,     its complicated but hopefully out next quarter along with witcher lot of internal debate as to whether we should be putting effort towards generalized gaming emulation vs making individual games work well
2021-12-16 08:16:46+00:00,    yeah
2021-12-16 04:35:40+00:00,
2021-12-16 03:43:45+00:00,  
2021-12-16 01:56:28+00:00,   i love dilbert use it all the time to illustrate that were doing something wrong at teslaspacex if it could be a dilbert cartoon irl this happens more often than id like sigh
2021-12-16 01:23:15+00:00,   that is weird
2021-12-15 20:31:35+00:00,highly recommend all of 
2021-12-15 20:27:33+00:00, thanks
2021-12-15 20:22:52+00:00, congrats 
2021-12-15 19:14:55+00:00,  shes tryin call to the manager rn 
2021-12-15 18:32:44+00:00,   sneaky but ineffective like the rest of what she does 
2021-12-15 18:20:50+00:00, explain yourself 
2021-12-15 18:04:17+00:00, interesting
2021-12-15 16:26:53+00:00, thank you
2021-12-15 16:05:19+00:00,  yup thats the plan
2021-12-14 23:33:02+00:00, dont spend it all at once  oh wait you did already
2021-12-14 23:30:05+00:00, and if you opened your eyes for 2 seconds you would realize i will pay more taxes than any american in history this year
2021-12-14 22:27:37+00:00,  x is pretty great
2021-12-14 22:27:03+00:00,  thanks jim
2021-12-14 22:22:01+00:00, 
2021-12-14 20:49:39+00:00, please dont call the manager on me senator karen 
2021-12-14 20:36:18+00:00, you remind me of when i was a kid and my friends angry mom would just randomly yell at everyone for no reason
2021-12-14 20:11:33+00:00," stop projecting 
"
2021-12-14 19:30:14+00:00, this is the revolution in medicine
2021-12-14 19:11:22+00:00,  yeah 
2021-12-14 18:47:14+00:00, no stylist no makeup either haha
2021-12-14 16:16:40+00:00, lori did a lot of good
2021-12-14 16:01:49+00:00, that is how i feel about myself oh wait 
2021-12-14 15:56:07+00:00, very hard
2021-12-14 12:44:08+00:00, yup
2021-12-14 10:54:05+00:00,  munro rocks
2021-12-14 10:34:23+00:00,tesla will make some merch buyable with doge amp see how it goes
2021-12-13 22:21:51+00:00,will also be important for mars
2021-12-13 22:21:34+00:00,spacex is starting a program to take co2 out of atmosphere amp turn it into rocket fuel please join if interested
2021-12-13 22:08:18+00:00, penalizing sustainable energy is insane
2021-12-13 21:27:38+00:00,  i will ask dan for some tips
2021-12-13 20:43:15+00:00, forgot to mention the mosquito which was arguably the most innovative airframe design
2021-12-13 20:32:38+00:00, 
2021-12-13 19:08:17+00:00, thanks bro
2021-12-13 18:55:24+00:00, 
2021-12-13 18:49:08+00:00,  overall kill ratio was 191 but kill ratio against the zero was 131
2021-12-13 18:23:45+00:00, apologies for any errors in this podcast
2021-12-13 00:26:13+00:00, interesting payload number
2021-12-12 20:42:43+00:00, true 
2021-12-12 20:00:05+00:00, she seems cool
2021-12-12 19:17:26+00:00, 
2021-12-12 12:49:36+00:00, i was slightly aiming for that
2021-12-12 12:47:36+00:00,
2021-12-12 12:29:34+00:00,sine qua non non 
2021-12-12 12:27:32+00:00,sorry 
2021-12-12 11:51:12+00:00, does anything actually work
2021-12-12 11:45:12+00:00,  literally
2021-12-12 11:43:50+00:00,  martians911
2021-12-12 11:21:22+00:00,   yup
2021-12-12 11:01:00+00:00, 
2021-12-12 09:51:36+00:00, i think i mentioned octane too much haha  but it was actually a big deal
2021-12-12 09:11:01+00:00,  sonic the hedgehog game coming to all teslas
2021-12-12 03:44:29+00:00,just did a  episode with dan carlin hope you like it
2021-12-12 00:23:16+00:00, it takes 20 years time from conception to adult to reverse demographic trends
2021-12-11 20:33:36+00:00,  maybe a little 
2021-12-11 20:20:16+00:00, sulla and the original nero who was instrumental in defeating hannibal are underrated
2021-12-11 20:12:56+00:00,no better friend no worse enemy 
2021-12-11 18:28:46+00:00, real androids are coming
2021-12-11 17:28:37+00:00, 
2021-12-11 17:23:50+00:00, absolutely
2021-12-11 17:22:40+00:00, 
2021-12-11 07:54:26+00:00, they have no idea
2021-12-11 07:46:51+00:00, um  yes
2021-12-11 05:37:00+00:00, should arguably be called 11
2021-12-11 05:36:19+00:00, 107 next week is great
2021-12-11 05:25:46+00:00, that is not the production wiper
2021-12-10 23:33:50+00:00, lasers can do anything
2021-12-10 22:05:57+00:00, there will be a few tweaks before production
2021-12-10 22:04:35+00:00, i do aspire to entertain the people
2021-12-10 19:10:52+00:00,   imbued goldbronze color would be sick
2021-12-10 18:20:43+00:00,"  manufacturers have to ship cars with side mirrors by law but owners are allowed to modify their cars

the wiper is what troubles me most no easy solution deployable wiper that stows in front trunk would be ideal but complex"
2021-12-10 18:14:12+00:00,  not at first but there are many third party options for wrapping
2021-12-10 18:12:25+00:00, cybertruck can have any color you want so long as its nothing
2021-12-10 17:52:37+00:00,mars amp cars
2021-12-10 17:37:56+00:00, cgi irl
2021-12-10 17:29:40+00:00,"wow only three weeks to 2022 
what will 2032 will be like 
seems so futuristic
will we be on mars"
2021-12-10 17:19:13+00:00,hahaha  1
2021-12-10 07:20:45+00:00, maybe i will 
2021-12-10 07:19:05+00:00, 
2021-12-10 06:44:19+00:00, 
2021-12-10 04:42:00+00:00, tesla china has done amazing work
2021-12-10 04:21:25+00:00, 
2021-12-10 04:20:58+00:00, earth should be called water
2021-12-10 04:02:41+00:00, 
2021-12-10 03:59:06+00:00, noobtoob
2021-12-10 02:51:25+00:00,
2021-12-09 20:43:05+00:00, 
2021-12-09 20:19:29+00:00,  
2021-12-09 18:11:56+00:00,    congrats
2021-12-09 18:11:43+00:00,       rocket fleets grows
2021-12-09 18:09:31+00:00,  
2021-12-09 18:00:34+00:00, amazing engine
2021-12-09 17:39:45+00:00,   
2021-12-09 13:38:30+00:00, shanghai is beautiful
2021-12-09 07:09:45+00:00, probably way sooner before its too hot for civilization
2021-12-08 21:11:08+00:00,unless susceptible to extreme natural disasters nuclear power plants should not be shut down
2021-12-08 21:04:14+00:00, taxing all billionaires at 100 only drops national debt by 10 which is just one year of deficit spending
2021-12-08 20:56:14+00:00,nothing is more permanent than a temporary government program
2021-12-08 20:53:21+00:00, exactly
2021-12-08 20:52:56+00:00,there is a lot of accounting trickery in this bill that isnt being disclosed to the public
2021-12-08 20:51:04+00:00,if temporary provisions in the build back better act become permanent us national debt will increase by 24 
2021-12-08 19:19:15+00:00, judith cohen jack blacks mother also did important work on apollo 
2021-12-08 17:29:13+00:00, 
2021-12-08 17:28:03+00:00, 
2021-12-08 17:26:46+00:00, 
